image_id,healthy,multiple_diseases,rust,scab
Test_0,0.00014597074186895043,0.016563905403017998,0.9832713007926941,1.887050711957272e-05
Test_1,0.0003173255536239594,0.031048966571688652,0.9685473442077637,8.631328091723844e-05
Test_2,0.0005958438850939274,0.004176791291683912,7.70802034821827e-06,0.9952196478843689
Test_3,0.998849630355835,0.00016244762809947133,9.390600462211296e-05,0.0008939922554418445
Test_4,3.865021014348713e-08,0.00060574512463063,0.9993941783905029,6.155533860408013e-10
Test_5,0.5473339557647705,0.0256070364266634,0.001912549720145762,0.4251464903354645
Test_6,0.9888317584991455,0.0010160537203773856,0.004592505749315023,0.005559612065553665
Test_7,0.00027156370924785733,0.001765113789588213,2.6157476895605214e-06,0.9979606866836548
Test_8,0.6806654334068298,0.01133541576564312,0.0014109822222962976,0.30658823251724243
Test_9,0.000340760569088161,0.04421906918287277,0.9553009271621704,0.00013929812121205032
Test_10,0.0032073550391942263,0.009306692518293858,0.9873030185699463,0.0001829622488003224
Test_11,0.9621567726135254,0.005446665454655886,0.002107097301632166,0.030289489775896072
Test_12,0.008257932029664516,0.0038312191609293222,1.7595712051843293e-05,0.987893283367157
Test_13,0.9825270771980286,0.003331896150484681,0.0013367872452363372,0.012804252095520496
Test_14,0.0005811336450278759,0.033118776977062225,0.9662065505981445,9.350782784167677e-05
Test_15,0.0019867459777742624,0.008619398809969425,0.9893171191215515,7.663828728254884e-05
Test_16,0.9682402610778809,0.0053503126837313175,0.004722805693745613,0.021686632186174393
Test_17,0.0020380313508212566,0.028277195990085602,0.00015371217159554362,0.9695311188697815
Test_18,0.04710666462779045,0.005945542361587286,0.00018764827109407634,0.9467601180076599
Test_19,0.00016162321844603866,0.017108643427491188,0.9826917052268982,3.801860293606296e-05
Test_20,0.0003192128206137568,0.0036084193270653486,2.8828490030718967e-06,0.9960695505142212
Test_21,0.9836024045944214,0.0011704055359587073,0.0012473531533032656,0.013979755342006683
Test_22,4.0254381161730635e-08,0.003928370773792267,0.9960715770721436,1.073015232222474e-09
Test_23,0.0004188487946521491,0.0031920389737933874,5.783782398793846e-06,0.9963833093643188
Test_24,0.8891948461532593,0.007458204869180918,0.001275717979297042,0.10207125544548035
Test_25,0.005910329986363649,0.008162282407283783,8.286233787657693e-05,0.9858444929122925
Test_26,0.046567898243665695,0.010394231416285038,0.0004928267444483936,0.9425451159477234
Test_27,5.791410330857616e-06,0.009473243728280067,0.9905205965042114,3.757239994683914e-07
Test_28,0.9830175638198853,0.0018684074748307467,0.001117819338105619,0.013996248133480549
Test_29,0.05685213580727577,0.4624297022819519,0.06314881145954132,0.4175693392753601
Test_30,0.8059868812561035,0.004967966116964817,0.00024266820400953293,0.18880252540111542
