image_id,healthy,multiple_diseases,rust,scab
Test_0,6.940426260371169e-07,0.005101462826132774,0.9948979020118713,8.739341694763425e-09
Test_1,2.4286787265737075e-06,0.016868578270077705,0.9831288456916809,8.235529946887254e-08
Test_2,1.105784122046316e-05,0.00030078188865445554,1.0353629065207315e-09,0.9996881484985352
Test_3,0.9998942613601685,3.266020576120354e-05,3.9144805441537756e-07,7.264270243467763e-05
Test_4,9.434102804517508e-13,0.00010620947432471439,0.9998937845230103,5.561763253715055e-17
Test_5,0.9634175896644592,0.00214395672082901,1.9761173462029546e-05,0.03441868722438812
Test_6,0.9970430731773376,0.000982025871053338,5.974569285172038e-05,0.0019152117893099785
Test_7,0.0005896679358556867,0.005189696792513132,1.4382618473973707e-06,0.994219183921814
Test_8,0.005390333477407694,0.00701672350987792,4.7600742618669756e-06,0.9875882267951965
Test_9,1.7951708741748007e-06,0.010032354854047298,0.9899657964706421,3.9123584372191544e-08
Test_10,0.0001397265150444582,0.019655289128422737,0.9802005290985107,4.408477252582088e-06
Test_11,0.9956247210502625,0.0007058295886963606,2.335765202587936e-05,0.0036460640840232372
Test_12,0.0016717843245714903,0.004221836570650339,9.14323095457803e-07,0.9941054582595825
Test_13,0.9985626339912415,0.00036737462505698204,7.513333912356757e-06,0.0010624743299558759
Test_14,2.201652023359202e-06,0.004208283498883247,0.9957895874977112,2.45976519153146e-08
Test_15,0.0002249474637210369,0.024030955508351326,0.975737452507019,6.596752427867614e-06
Test_16,0.9973770380020142,0.0009211605065502226,4.558848377200775e-05,0.0016561821103096008
Test_17,7.39632787372102e-06,0.002935373689979315,1.461518550627261e-08,0.9970571994781494
Test_18,0.025066914036870003,0.00883997417986393,8.105547749437392e-06,0.9660850167274475
Test_19,1.3117579555910197e-07,0.00365151627920568,0.9963483214378357,1.7999451928929489e-09
Test_20,6.143804512248607e-06,0.0002318186598131433,3.379516111401415e-10,0.9997619986534119
Test_21,0.9982619881629944,0.0004388249362818897,1.545062696095556e-05,0.001283677644096315
Test_22,1.9821648391659535e-13,9.187369141727686e-05,0.9999080896377563,1.70575296394724e-17
Test_23,5.329968917067163e-05,0.0006259943475015461,8.482530233777652e-09,0.9993207454681396
Test_24,0.43099847435951233,0.010651991702616215,2.5410661692149006e-05,0.5583241581916809
Test_25,0.000927054206840694,0.0031182707753032446,7.723757562416722e-07,0.9959537982940674
Test_26,0.0077059343457221985,0.007442301604896784,9.712850442156196e-06,0.98484206199646
Test_27,5.110535106211955e-09,0.001314150053076446,0.998685896396637,5.259514612027116e-12
Test_28,0.9992668032646179,0.00019106737454421818,4.962981165590463e-06,0.0005371180013753474
Test_29,0.0035107245203107595,0.055664341896772385,0.9406105875968933,0.0002143672463716939
Test_30,0.9381874799728394,0.00795172993093729,0.00012225199316162616,0.053738560527563095
Test_31,0.00016119898646138608,0.25046905875205994,0.7493569850921631,1.2689285540545825e-05
Test_32,0.34463953971862793,0.01110733114182949,5.7411576563026756e-05,0.6441956758499146
Test_33,0.00024257684708572924,0.001337217865511775,7.416658576175905e-08,0.9984201192855835
Test_34,0.0017708390951156616,0.0039855013601481915,1.5934434713926748e-06,0.9942421317100525
